product_id,name,quantity,price,product_description
SparkleGlow,3,29.99,"Wireless Bluetooth Earbuds",12345
SecureGuard,1,99.99,"Smartphone Case with Card Holder",67890
AquaPure,2,49.99,"Stainless Steel Water Bottle",23456
ComfyFit,4,14.99,"Cotton Crew Neck T-Shirt",78901
HyperStrike,5,79.99,"Wireless Gaming Mouse",34567
PowerSwift,2,39.99,"Portable Power Bank",89012
UltraView,1,149.99,"4K Ultra HD Smart TV",45678
LunaGlow,3,59.99,"LED Desk Lamp",12346
EliteGuard,2,129.99,"Wireless Security Camera System",67891
NatureFresh,5,9.99,"Organic Fruit Basket",23457
ProFit,1,49.99,"Fitness Tracker Watch",78902
TechSonic,4,79.99,"Bluetooth Speaker",34568
